tv,name,sector,industry,mcap_b,summary
NYSE:NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,111.2,"Cloudflare, Inc. operates as a cloud services provider that delivers a range of services to businesses worldwide. The company provides a cloud-based security solution to secure a range of combination of platforms, including public and private cloud, on-premises, software-as-a-service applications, and Internet of things (IoT) devices; and application security products comprising web application fi"
NASDAQ:NFLX,"Netflix, Inc.",Communication Services,Entertainment,317.6,"Netflix, Inc. provides entertainment services worldwide. The company offers television (TV) series, documentaries, feature films, games, and live programming across various genres and languages. It also provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, TV set-top boxes, and mobile devices. Netflix, Inc. was"
NYSE:NGG,"National Grid Transco, PLC Nati",Utilities,Utilities - Regulated Electric,77.6,"National Grid plc engages in the transmission and distribution of electricity and gas. It operates through UK Electricity Transmission, UK Electricity Distribution, New England, New York, National Grid Ventures, and Other segments. The UK Electricity Transmission segment provides electricity transmission networks in England and Wales. The UK Electricity Distribution segment offers electricity dist"
NYSE:NI,NiSource Inc,Utilities,Utilities - Regulated Gas,19.9,"NiSource Inc., an energy holding company, operates as a regulated natural gas and electric utility company in the United States. It operates in two segments, Columbia Operations and NIPSCO Operations. The company provides natural gas to residential, commercial, and industrial customers through approximately 37,300 miles of distribution main pipeline and the associated individual customer service l"
NYSE:NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,9.4,"NIO Inc. designs, develops, manufactures, and sells smart electric vehicles in China, Europe, and internationally. It offers five and six-seater electric SUVs, as well as smart electric sedans. The company also offers power solutions, including Power Home, a home charging solution; Power Swap, a battery-swapping service; Power Charger and Destination Charger; Power Mobile, a mobile charging servic"
NYSE:NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,55.1,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, accessories, and services for men, women, and kids in North America, Europe, the Middle East, Africa, Greater China, the Asia Pacific, and Latin America. The company offers its products under the NIKE, Jordan, Converse, Jumpman, Chuck Taylor, All Star, One Star, Star Chevron, an"
NYSE:NLY,Annaly Capital Management Inc.,Real Estate,REIT - Mortgage,17.1,"Annaly Capital Management, Inc., a diversified capital manager, engages in the residential mortgage finance business. The company invests in agency mortgage-backed securities collateralized by residential mortgages; non-agency residential whole loans and securitized products within the residential and commercial markets; mortgage servicing rights; agency commercial mortgage-backed securities; to-b"
NYSE:NMR,Nomura Holdings Inc,Financial Services,Capital Markets,30.6,"Nomura Holdings, Inc. engages in the provision of investment, financing, and related services to individual, institutional, and government clients worldwide. It operates through three segments: Wealth Management, Investment Management, and Wholesale. The Wealth Management segment offers asset management services. The Investment Management segment provides investment management services and investm"
NYSE:NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,73.4,"Northrop Grumman Corporation operates as an aerospace and defense technology company in the United States, Asia/Pacific, Europe, and internationally. It operates through four segments: Aeronautics Systems, Defense Systems, Mission Systems and Space Systems. The Aeronautics Systems segment designs, develops, produces, integrates, sustains, and modernizes aircraft systems. This segment also offers u"
NYSE:NOK,Nokia Corporation Sponsored,Technology,Communication Equipment,60.8,"Nokia Oyj, together with its subsidiaries, provides mobile, fixed, and cloud network solutions in North and Latin America, Greater China, India, Asia Pacific, Europe, the Middle East, and Africa. It operates in four segments: Network Infrastructure, Mobile Networks, Cloud and Network Services, and Nokia Technologies. The company offers fixed network solutions, such as fiber and copper technologies"
NYSE:NOW,"ServiceNow, Inc.",Technology,Software - Application,135.6,"ServiceNow, Inc. provides cloud-based solution for digital workflows in the North America, Brazil, Europe, the Middle East and Africa, Asia Pacific, and internationally. The company provides asset management, integrated risk management, IT service management, Operational Technology management, Security Operations, strategic portfolio management, IT operations management products; customer service "
NYSE:NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,24.3,"NRG Energy, Inc., together with its subsidiaries, operates as an energy and home services company in the United States and Canada. It operates through the Texas, East, West/Other, Vivint Smart Home, and Corporate Activities segments. The company offers retail electricity, energy management, demand response and virtual power plant programs, carbon offsets, smart home security, and automation servic"
NYSE:NSC,Norfolk Southern Corporation,Industrials,Railroads,73.0,"Norfolk Southern Corporation, together with its subsidiaries, engages in the rail transportation of raw materials, intermediate products, and finished goods in the United States. The company transports agriculture, forest, and consumer products comprising soybeans, wheat, corn, fertilizers, livestock and poultry feed, food products, food oils, flour, sweeteners, ethanol, lumber and wood products, "
NASDAQ:NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,36.6,"NetApp, Inc. provides a range of enterprise software, systems, and services that customers use to transform their data infrastructures in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Hybrid Cloud and Public Cloud. The company offers data management software, such as NetApp ONTAP, ONTAP One, NetApp Snapshot, NetAp"
NASDAQ:NTES,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,74.2,"NetEase, Inc. engages in online games, music streaming, online intelligent learning services, and internet content services businesses in China and internationally. The company operates through Games and Related Value-Added Services; Youdao; NetEase Cloud Music; and Innovative Businesses and Others segments. It develops and operates mobile and PC games; and offers games licensed from other develop"
NASDAQ:NTNX,"Nutanix, Inc.",Technology,Software - Infrastructure,18.3,"Nutanix, Inc. provides an enterprise cloud platform in North America, Europe, the Asia Pacific, the Middle East, Latin America, and Africa. It offers hyperconverged infrastructure software; Nutanix Cloud Platform, which is designed to enable organizations to build hybrid multicloud infrastructure; Nutanix cloud infrastructure, is a distributed HCI for enterprise IT applications, includes Nutanix A"
TSX:NTR,NUTRIEN LTD,Basic Materials,Agricultural Inputs,53.7,"Nutrien Ltd. provides crop inputs and services. The company operates through four segments: Retail, Potash, Nitrogen, and Phosphate. The Retail segment markets crop nutrients, crop protection products, seed, and merchandise, as well as provides agronomic application and financing services and solutions; and produces proprietary products, including proprietary crop nutrient, crop protection, and se"
NYSE:NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,38.9,"Nutrien Ltd. provides crop inputs and services. The company operates through four segments: Retail, Potash, Nitrogen, and Phosphate. The Retail segment markets crop nutrients, crop protection products, seed, and merchandise, as well as provides agronomic application and financing services and solutions; and produces proprietary products, including proprietary crop nutrient, crop protection, and se"
NASDAQ:NTRA,"Natera, Inc.",Healthcare,Diagnostics & Research,47.2,"Natera, Inc., a diagnostics company, engages in the development and commercialization of molecular testing services worldwide. It offers Signatera, a personalized ctDNA blood test for MRD assessment, early recurrence monitoring, and evaluation of treatment response in patients previously diagnosed with cancer; Latitude, a blood-based MRD test for colorectal cancer; Altera, a tissue based comprehen"
NASDAQ:NTRS,Northern Trust Corporation,Financial Services,Asset Management,33.9,"Northern Trust Corporation, a financial holding company, provides wealth management, asset servicing, asset management, and banking solutions for corporations, institutions, families, and individuals. It operates in two segments, Asset Servicing and Wealth Management. The Asset Servicing segment offers asset servicing and related services, including custody, fund administration, investment operati"
NYSE:NU,Nu Holdings Ltd.,Financial Services,Banks - Regional,73.3,"Nu Holdings Ltd. provides digital banking platform in Brazil, Mexico, Colombia, the Cayman Islands, and the United States. The company provides spending solutions comprising Nu credit and prepaid card, a digitally enabled card that acts as a credit and a prepaid card; Nubank+ Tier, an evolution of the Nu experience; Ultraviolet credit and prepaid card, a premium metal credit card; mobile payment s"
NYSE:NUE,Nucor Corporation,Basic Materials,Steel,59.0,"Nucor Corporation engages in the manufacture and sale of steel and steel products. The company operates in three segments: Steel Mills, Steel Products, and Raw Materials. The Steel Mills segment produces hot-rolled, cold-rolled, and galvanized sheet steel products; plate steel products; wide-flange beams, beam blanks, and H-piling and sheet piling structural steel products; and bar steel products,"
NASDAQ:NVDA,NVIDIA Corporation,Technology,Semiconductors,5409.3,"NVIDIA Corporation operates as a data center scale AI infrastructure company in the United States, Taiwan, China, Hong Kong, Europe, and internationally. It operates through Compute & Networking, and Graphics segments. The Compute & Networking segment provides data center accelerated computing and networking platforms and artificial intelligence solutions and software, and automotive platforms and"
NASDAQ:NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials,12.0,"Nova Ltd. engages in the design, development, production, and sale of process control systems used in the manufacture of semiconductors in Taiwan, the United States, China, Korea, and internationally. The company's product portfolio includes a set of metrology platforms for dimensional, films, and materials and chemical metrology measurements for process control for various semiconductor manufactu"
NYSE:NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,197.8,"Novo Nordisk A/S, together with its subsidiaries, engages in the research and development, manufacture, and distribution of pharmaceutical products. It operates through two segments, Obesity and Diabetes Care, and Rare Disease. The Obesity and Diabetes care segment provides products for diabetes, obesity, cardiovascular, and other emerging therapy areas. The Rare Disease segment offers products in"
NYSE:NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,16.4,"NVR, Inc. operates as a homebuilder in the United States. The company operates through Homebuilding and Mortgage Banking segments. It engages in the construction and sale of single-family detached homes, townhomes, and condominium buildings under the Ryan Homes, NVHomes, and Heartland Homes names. The company markets its Ryan Homes products to first-time and first-time move-up buyers; and NVHomes "
NYSE:NVS,Novartis AG,Healthcare,Drug Manufacturers - General,261.1,"Novartis AG researches, develops, manufactures, distributes, markets, and sells pharmaceutical medicines in Switzerland and internationally. The company offers Entresto, an angiotensin receptorneprilysin inhibitor to treat symptomatic chronic heart failure with reduced ejection fraction (HFrEF); Cosentyx to treat plaque psoriasis, pso riatic arthritis, ankylosing spondylitis, and nonradiographic a"
NYSE:NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,25.9,"nVent Electric plc designs, manufactures, markets, installs, and services electrical connection and protection solutions in the America, Europe, the Middle East, India, Africa, the Asia Pacific, and internationally. It operates in two segments, Systems Protection and Electrical Connections. The company provides solutions to protect electronics, systems, and data in mission critical applications, i"
NYSE:NWG,NatWest Group plc,Financial Services,Banks - Regional,73.9,"NatWest Group plc, together with its subsidiaries, provides banking and financial products and services in the United Kingdom and internationally. It operates through the Retail Banking, Private Banking, and Commercial & Institutional segments. The Retail Banking segment offers a range of banking products and related financial services, such as current accounts, mortgages, personal unsecured lendi"
NASDAQ:NWS,News Corporation,Communication Services,Entertainment,17.7,"News Corporation, a media and information services company, creates and distributes authoritative and engaging content, and other products and services for consumers and businesses in the United States, Canada, Europe, Australasia, and internationally. It operates through five segments: Dow Jones, Digital Real Estate Services, Book Publishing, News Media, and Other. The company distributes news, d"
NASDAQ:NWSA,News Corporation,Communication Services,Entertainment,15.8,"News Corporation, a media and information services company, creates and distributes authoritative and engaging content, and other products and services for consumers and businesses in the United States, Canada, Europe, Australasia, and internationally. It operates through five segments: Dow Jones, Digital Real Estate Services, Book Publishing, News Media, and Other. The company distributes news, d"
NASDAQ:NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,57.1,"NXP Semiconductors N.V. provides semiconductor products in the United States, Germany, Japan, South Korea, Taiwan, Singapore, the Netherlands, Mainland China, Hong Kong, and internationally. The company's product portfolio includes microcontrollers; application processors; communication processors; wireless connectivity solutions, such as near field communications, ultra-wideband, Bluetooth low-en"
NASDAQ:NXT,Nextpower Inc.,Technology,Solar,12.7,"Nextpower Inc. provides solar and energy technology solutions for utility-scale power plants in the United States and internationally. It offers tracking solutions, including NX Horizon, a solar tracking solution; NX Horizon-XTR, a terrain-following tracker to expand the addressable market for trackers on sites with sloped, uneven, and challenging terrain; NX Horizon Hail Pro adds automatic stowin"
NYSE:NYT,New York Times Company (The),Communication Services,Publishing,10.7,"The New York Times Company, together with its subsidiaries, creates, collects, and distributes news and information worldwide. It operates through two segments, The New York Times Group and The Athletic. It offers The New York Times (The Times) through company's mobile application, website, printed newspaper, and associated content, such as podcast. The company offers The Athletic, a sports media "
NYSE:O,Realty Income Corporation,Real Estate,REIT - Retail,57.0,"Realty Income Corporation, an S&P 500 company, is real estate partner to the world's leading companies. Founded in 1969, we serve our clients as a full-service real estate capital provider. As of June 30, 2026, we have a portfolio of over 15,500 properties in all 50 U.S. states, the U.K., and eight other countries in Europe. We are known as ""The Monthly Dividend Company"" and have a mission to inve"
NYSE:OC,Owens Corning Inc,Industrials,Building Products & Equipment,10.2,"Owens Corning provides residential and commercial building products in the United States, Europe, the Asia Pacific, and internationally. It operates through three segments: Roofing, Insulation, and Doors. The company offers laminate and strip asphalt roofing shingles, roofing components, and oxidized asphalt. It also provides high, mid, and low temperature products; thermal and acoustical batts, l"
NASDAQ:ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,37.8,"Old Dominion Freight Line, Inc. operates as a less-than-truckload motor carrier in the United States and North America. The company offers regional, inter-regional, and national less-than-truckload services, as well as expedited transportation services. It also provides various value-added services, including container drayage, truckload brokerage, and supply chain consulting. In addition, the com"
NYSE:OHI,"Omega Healthcare Investors, Inc",Real Estate,REIT - Healthcare Facilities,14.9,"Omega Healthcare Investors, Inc. is a real estate investment trust that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the US, as well as in the UK and Canada. Omega Healthcare I"
NYSE:OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,60.1,"ONEOK, Inc. operates as a midstream service provider of gathering, processing, fractionation, transportation, storage, and marine export services in the United States. It operates in four segments: Natural Gas Gathering and Processing; Natural Gas Liquids; Natural Gas Pipelines; and Refined Products and Crude. The company owns natural gas gathering pipelines and processing plants in the Mid-Contin"
NASDAQ:OKTA,"Okta, Inc.",Technology,Software - Infrastructure,29.7,"Okta, Inc. operates as an identity partner in the United States and internationally. It offers Single Sign-on to secure access to cloud and on-premises applications from any device; Adaptive MFA for a risk-based layer of security for an organization's cloud, mobile, and web applications; API Access Management, which enables organizations to secure APIs as systems; Access Gateway, which extends the"
NYSE:OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,21.4,"Omnicom Group Inc., together with its subsidiaries, offers advertising, marketing, and corporate communications services. It provides a range of services in the areas of media and advertising, precision marketing, public relations, healthcare, branding and retail commerce, experiential, execution, and support. The company's services include advertising, branding, content marketing, crisis communic"
NASDAQ:ON,ON Semiconductor Corporation,Technology,Semiconductors,27.9,"ON Semiconductor Corporation provides intelligent sensing and power solutions in Hong Kong, Singapore, the United Kingdom, the United States, and internationally. It operates through three segments: Power Solutions Group, Analog and Mixed-Signal Group, and Intelligent Sensing Group. The Power Solutions Group segment offers discrete, module, and integrated semiconductor devices designed to enable p"
NASDAQ:ONC,BeOne Medicines Ltd.,Healthcare,Biotechnology,39.6,"BeOne Medicines AG, an oncology company, engages in discovering and developing various treatments for cancer patients in the United States, China, Europe, and internationally. The company's commercial stage products include BRUKINSA, a small molecule inhibitor of Bruton's Tyrosine Kinase (BTK) for the treatment of various blood cancers; TEVIMBRA, an anti-PD-1 antibody immunotherapy for the treatme"
NYSE:ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories,9.1,"On Holding AG, together with its subsidiaries, develops and distributes performance sports products under the On brand in Switzerland, the rest of Europe, the Middle East, Africa, the United States, the rest of the Americas, and the Asia-Pacific. The company offers athletic footwear, apparel, and accessories for performance running, performance outdoor, performance all day, performance training, p"
NYSE:ONTO,Onto Innovation Inc.,Technology,Semiconductor Equipment & Materials,17.3,"Onto Innovation Inc. engages in the design, development, manufacture, and support of process control tools that perform macro-defect inspection and metrology in the United States, Taiwan, South Korea, Japan, China, Southeast Asia, Asia, and Europe. The company offers lithography systems and process control analytical software; and automated and integrated metrology systems, silicon wafer all-surfa"
NYSE:ORCL,Oracle Corporation,Technology,Software - Infrastructure,465.4,"Oracle Corporation offers products and services that build, run and support enterprise information technology frameworks worldwide. Its Oracle cloud software as a service offering includes various cloud software applications, including Oracle Fusion cloud enterprise resource planning ERP, Oracle Fusion cloud enterprise performance management EPM, Oracle Fusion cloud supply chain and manufacturing "
NASDAQ:ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,68.8,"O'Reilly Automotive, Inc., together with its subsidiaries, operates as a retailer and supplier of automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States, Puerto Rico, Mexico, and Canada. The company offers new and remanufactured automotive hard parts and maintenance items, such as alternators, batteries, brake system components, belts, chassis parts, driveli"
NYSE:OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,26.3,"Otis Worldwide Corporation engages in manufacturing, installation, and servicing of elevators and escalators in the United States, China, and internationally. The company operates in two segments, New Equipment and Service. The New Equipment segment designs, manufactures, sells, and installs a range of passenger and freight elevators, as well as escalators and moving walkways for residential and c"
NYSE:OVV,Ovintiv Inc. (DE),Energy,Oil & Gas E&P,17.8,"Ovintiv Inc., together with its subsidiaries, operates as an oil and natural gas exploration and production company in North America. The company operates through USA Operations and Canadian Operations segments. It is involved in the exploration, development, production, and marketing of oil, NGLs, natural gas and other related activities in the Permian in West Texas and Anadarko in West-central O"
NYSE:OWL,Blue Owl Capital Inc.,Financial Services,Asset Management,17.1,"Blue Owl Capital Inc. operates as an alternative asset manager in the United States. It offers permanent capital base solutions that enables it to offer holistic framework of capital solutions to middle market companies, large alternative asset managers, and corporate real estate owners and tenants. The company also provides private financing solutions, such as direct lending products comprising d"
NYSE:OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,61.3,"Occidental Petroleum Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of oil and gas properties in the United States and internationally. It operates through Oil and Gas and Midstream and Marketing. The Oil and Gas segment explores for, develops, and produces oil and condensate, natural gas liquids (NGLs), and natural gas. This segment also opti"
NYSE:P,"Everpure, Inc.",Technology,Computer Hardware,32.9,"Everpure, Inc. provides data storage and management technologies, products, and services in the United States and internationally. Its Purity software is shared across its products and provides enterprise-class data services, such as always-on data reduction, data protection, and encryption, as well as storage protocols, such as block, file, and object. The company also provides FlashArray, includ"
NASDAQ:PAA,"Plains All American Pipeline, L",Energy,Oil & Gas Midstream,18.3,"Plains All American Pipeline, L.P., through its subsidiaries, engages in the pipeline transportation, terminalling, storage, and gathering of crude oil and natural gas liquids (NGL) in the United States and Canada. The company operates through two segments, Crude Oil and NGL. The Crude Oil segment offers gathering and transporting crude oil through pipelines, trucks, and on barges or railcars. Thi"
TSX:PAAS,PAN AMERICAN SILVER CORP,Basic Materials,Gold,30.4,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of mines in Chile, Peru, Brazil, Mexico, Canada, Argentina, Bolivia, and Guatemala. The Silver segment includes the La Colorada, Juanicipio, Cerro Moro, Huaron, and San Vicente mines. The Gold segment comprises the Jacobina, El Peñon, Timmins, Shahuindo, Minera Florida, and Dol"
NYSE:PAAS,Pan American Silver Corp.,Basic Materials,Gold,22.0,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of mines in Chile, Peru, Brazil, Mexico, Canada, Argentina, Bolivia, and Guatemala. The Silver segment includes the La Colorada, Juanicipio, Cerro Moro, Huaron, and San Vicente mines. The Gold segment comprises the Jacobina, El Peñon, Timmins, Shahuindo, Minera Florida, and Dol"
NYSE:PAC,Grupo Aeroportuario Del Pacific,Industrials,Airports & Air Services,12.3,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V., together with its subsidiaries, develops, operates, and manages airports in Mexico and Jamaica. The company operates twelve international airports in the Pacific and Central region of Mexico; and two international airports in Jamaica. It also offers aeronautical services, such as passenger, aircraft landing, parking charges, leasing of space to the"
NYSE:PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,14.2,"Penske Automotive Group, Inc., a diversified transportation services company, operates automotive and commercial truck dealerships in the United States, the United Kingdom, Germany, Italy, Japan, Canada, Australia, New Zealand, and internationally. It operates through four segments: Retail Automotive, Retail Commercial Truck, Other, and Non-Automotive Investments. The company operates franchise de"
NASDAQ:PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,272.8,"Palo Alto Networks, Inc. provides cybersecurity solutions in the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan. It offers Prisma Access, a secure access service edge solution; Strata Cloud Manager, a network security management solution; and Prisma AIRS to protect customers' entire AI ecosystem. It provides a comprehensive cloud native application protection platform; and "
NASDAQ:PAYX,"Paychex, Inc.",Technology,Software - Application,41.0,"Paychex, Inc., together with its subsidiaries, provides human capital management solutions (HCM) for human resources, payroll processing, employee benefits, and insurance services for small to medium-sized businesses in the United States, Europe, Canada, India, and Israel. It offers technology and advisory solutions; and payroll tax administration services. The company also provides retirement sol"
NYSE:PBA,Pembina Pipeline Corp.,Energy,Oil & Gas Midstream,28.6,"Pembina Pipeline Corporation provides energy transportation and midstream services. It operates through three segments: Pipelines, Facilities, and Marketing & New Ventures. The Pipelines segment operates conventional, oil sands and heavy oil, and transmission assets with a transportation capacity of 3.0 million of barrels of oil equivalent per day, and the ground storage capacity of 10 million of "
NYSE:PBR,Petroleo Brasileiro S.A. Petrob,Energy,Oil & Gas Integrated,135.1,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil, China, the United States, the Americas, Asia, Europe, Singapore, and internationally. It operates through three segments: Exploration and Production; Refining, Transportation & Marketing; and Gas & Low Carbon Energies. The Exploration and Production segment explores, develops, and produces crude oil, natural "
NASDAQ:PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,63.6,"PACCAR Inc designs, manufactures, and distributes light, medium, and heavy-duty commercial trucks in the United States, Canada, Australia, Mexico, Europe, Central and South America, and internationally. It operates through three segments: Truck, Parts, and Financial Services. The Truck segment designs, manufactures, and distributes trucks for the over-the-road and off-highway hauling of commercial"
NYSE:PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,31.5,"PG&E Corporation, through its subsidiary, Pacific Gas and Electric Company, engages in the sale and delivery of electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, fuel cells, and photovoltaic sources. The company owns and operates interconnected transmission lines; electric transm"
NASDAQ:PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,112.0,"PDD Holdings Inc., a multinational commerce group that owns and operates a portfolio of businesses. The company operates Pinduoduo platform, which provides various product categories and interactive shopping experiences; and Temu, an online platform, which enables merchants to streamline their manufacturing and commercial operations. The company was formerly known as Pinduoduo Inc. and changed its"
NYSE:PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,36.0,"Public Service Enterprise Group Incorporated, through its subsidiaries, operates in electric and gas utility, and nuclear generation businesses in the United States. It operates through PSE&G and PSEG Power segments. The PSE&G segment transmits electricity; distributes electricity and natural gas to residential, commercial, and industrial customers; and appliance services and repairs to customers "
NYSE:PEN,"Penumbra, Inc.",Healthcare,Medical Devices,12.6,"Penumbra, Inc., together with its subsidiaries, designs, develops, manufactures, and markets medical devices in the United States and internationally. It offers computer-assisted vacuum thrombectomy; peripheral thrombectomy products, including the Indigo System for power aspiration of thrombus in the body; Lightning Flash, a mechanical thrombectomy system; Lightning Bolt 7, an arterial thrombectom"
NASDAQ:PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,186.7,"PepsiCo, Inc. engages in the manufacture, marketing, distribution, and sale of various beverages and convenient foods worldwide. The company operates through six segments: PepsiCo Foods North America; PepsiCo Beverages North America; International Beverages Franchise; Europe, Middle East and Africa; Latin America Foods; and Asia Pacific Foods. It offers cereals, chips, dips, granola bars, oatmeal,"
NYSE:PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,158.9,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products in the United States and internationally. It operates in three segments: Biopharma, PC1, and Pfizer Ignite. The company offers internal medicine products, including cardiovascular metabolic diseases products under the Eliquis brand; migraine products under the Nurtec ODT/Vydura and Zavzpret br"
NASDAQ:PFG,Principal Financial Group Inc,Financial Services,Asset Management,24.3,"Principal Financial Group, Inc. provides retirement, asset management, and insurance products and services to businesses, individuals, and institutional clients worldwide. The company operates through Retirement and Income Solutions, Principal Asset Management, and Benefits and Protection segments. The Retirement and Income Solutions segment provides retirement, and related financial products and "
NYSE:PFGC,Performance Food Group Company,Consumer Defensive,Food Distribution,15.0,"Performance Food Group Company, through its subsidiaries, markets and distributes food and food-related products in North America. It operates through three segments: Foodservice, Convenience, and Specialty. The company offers beef, pork, poultry, seafood, frozen food, refrigerated products, and dry groceries to disposables, cleaning and kitchen supplies, and related products, as well as value-add"
NYSE:PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,331.5,"The Procter & Gamble Company provides branded consumer packaged goods worldwide. It operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The company offers conditioners, shampoos, styling aids, and treatments under the Head & Shoulders, Herbal Essences, Pantene, and Rejoice brands; antiperspirants, deodorants, and personal cleansing p"
NYSE:PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,124.8,"The Progressive Corporation operates as an insurance company in the United States. It writes insurance for personal autos and special lines products, including motorcycles, RVs, and watercraft; and personal residential property insurance for homeowners and renters. The company also writes auto-related liability and physical damage insurance for comprising dump trucks, log trucks, garbage trucks, t"
NYSE:PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,120.3,"Parker-Hannifin Corporation engages in the manufacture and sale of motion and control technologies and systems for aerospace and defense, in-plant and industrial equipment, transportation, off-highway, energy, and HVAC and refrigeration markets in North America, EMEA, Asia Pacific, and Latin America. It operates through two segments: Diversified Industrial and Aerospace Systems. The company offers"
NYSE:PHG,Koninklijke Philips N.V. NY Reg,Healthcare,Medical Devices,24.6,"Koninklijke Philips N.V. operates as a health technology company in North America, the Greater China, and internationally. It operates through Diagnosis & Treatment, Connected Care, and Personal Health segments. The company provides diagnostic imaging solutions, includes ultrasound business unit, magnetic resonance imaging, computed tomography, and diagnostic x-ray; Image Guided Therapy, including"
NYSE:PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,22.5,"PulteGroup, Inc., through its subsidiaries, engages in the homebuilding business in the United States. The company is involved in the acquisition and development of land primarily for residential purposes, as well as construction of housing; and sale of single-family detached homes; and attached homes, such as townhomes, condominiums, and duplexes under the Centex, Pulte Homes, Del Webb, DiVosta H"
NYSE:PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,10.6,"Pinterest, Inc. operates as a visual search and discovery platform in the United States, Canada, Europe, and internationally. The company's platform allows people to find ideas, such as recipes, home and style inspiration, and others; and to search, save, and shop the ideas. It also provides various advertising products to help advertisers meet users; and ad auction that allows to serve ads to use"
NYSE:PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,20.5,"Packaging Corporation of America manufactures and sells containerboard and uncoated freesheet (UFS) paper products in North America. The company operates through Packaging and Paper segments. The Packaging segment offers various linerboard and corrugated packaging products, such as conventional shipping containers used to protect and transport manufactured goods; multi-color boxes and displays tha"
NYSE:PKX,POSCO Holdings Inc.,Basic Materials,Steel,19.0,"POSCO Holdings Inc., together with its subsidiaries, operates as an integrated steel producer in Korea and internationally. It operates through six segments: Steel, Trading, Construction, Logistics and Others, Green Materials and Energy, and Others. The company engages in the production, import, sale, and export of steel products, such as hot and cold rolled steel, stainless steel, plates, wire ro"
NYSE:PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,131.8,"Prologis, Inc. don't just lead the industry, they define it. The firm creates the intelligent infrastructure that powers global commerce, seamlessly connecting the digital and physical worlds. From agile supply chains to clean energy solutions, their ecosystems help your business move faster, operate smarter and grow sustainably. With unmatched scale, innovation and expertise, Prologis is a catego"
NASDAQ:PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,410.0,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community to assist in counterterrorism investigations and operations in the United States, the United Kingdom, and internationally. It provides Palantir Gotham integrates with other platforms for defense offerings which enables users to see, understand, and act in the modern battlespace; operations centers to th"
